DeviceType,SubType,MinMomentum_Pa,MaxMomentum_Pa,TypicalBulkEfficiency,DsdMultiplier,PressureDropCoeff,MaxCapacity_m3_s_m2,Material,Reference
NONE,Pipe Entry,0,500,0.0,1.0,0.0,0,Carbon Steel,Arnold and Stewart (2008)
DEFLECTOR_PLATE,Flat Baffle,200,1500,0.60,0.85,0.5,0,Carbon Steel,Arnold and Stewart (2008)
DEFLECTOR_PLATE,Dished Baffle,200,2000,0.65,0.80,0.6,0,Carbon Steel,Arnold and Stewart (2008)
HALF_PIPE,Open Bottom,300,3500,0.70,0.75,1.0,0,Carbon Steel,Arnold and Stewart (2008)
HALF_PIPE,Open Top,300,3500,0.65,0.80,0.9,0,Carbon Steel,Arnold and Stewart (2008)
INLET_VANE,Single Row,500,6000,0.80,0.55,1.5,0,SS316L,Verlaan (2001)
INLET_VANE,Double Row,500,8000,0.85,0.45,2.0,0,SS316L,Verlaan (2001)
INLET_CYCLONE,Single Entry,1000,15000,0.95,0.35,3.0,0,SS316L/Duplex,Hoffmann and Stein (2008)
INLET_CYCLONE,Multi Entry,1000,18000,0.97,0.30,3.5,0,SS316L/Duplex,Hoffmann and Stein (2008)
SCHOEPENTOETER,Standard,800,9000,0.85,0.50,2.5,0,SS316L,Grevelink (2007)
SCHOEPENTOETER,High Capacity,800,12000,0.87,0.45,2.8,0,SS316L,Grevelink (2007)
IMPINGEMENT_PLATE,Single Plate,200,2000,0.65,0.80,0.8,0,Carbon Steel,Bothamley (2013)
IMPINGEMENT_PLATE,Multi Plate,200,2500,0.70,0.75,1.0,0,Carbon Steel,Bothamley (2013)
