"ID","NAME","TYPE","material","size","surfaceAreaPrVolume","voidFraction","PackingFactor","Cp","load","Ch","A"
1,"pallring","random","metal",50.000000000,112.600000000,0.951000000,85,0.763000000,6242.000000000,2.725000000,
2,"pallring","random","metal",38.000000000,149.600000000,0.952000000,180,1.003000000,15772.000000000,2.725000000,
3,"pallring","random","metal",35.000000000,139.400000000,0.965000000,180,0.967000000,19517.000000000,2.725000000,
4,"pallring","random","metal",25.000000000,223.500000000,0.954000000,180,0.957000000,53900.000000000,2.725000000,
5,"pallring","random","metal",15.000000000,368.400000000,0.933000000,180,0.990000000,229225.000000000,2.725000000,
6,"pallring","random","plastic",50.000000000,111.100000000,0.919000000,180,0.698000000,6765.000000000,2.725000000,
7,"rashigring","random","ceramic",25.000000000,185.400000000,0.662000000,180,1.329000000,48175.000000000,2.725000000,
8,"Mellapak250X","structured","metal",250.000000000,250.000000000,0.950000000,8,0.000000000,0.000000000,0.000000000,0.000000000
9,"RachigRingPacking","structured","metal",250.000000000,250.000000000,0.950000000,8,0.000000000,0.000000000,0.000000000,0.000000000
10,"PallRingPacking","structured","metal",250.000000000,250.000000000,0.950000000,8,0.000000000,0.000000000,0.000000000,0.000000000
11,"BerlSaddlePacking","structured","metal",250.000000000,250.000000000,0.950000000,8,0.000000000,0.000000000,0.000000000,0.000000000
