"ID","materialName","grade","specificationNumber","minimumYeildStrength","minimumTensileStrength","Description"
1,"Carbon Steel Pipe","A25","API5L",25000.000000000,45000.000000000,"API 5L Grade A25 - Seamless and welded"
2,"Carbon Steel Pipe","A","API5L",30000.000000000,48000.000000000,"API 5L Grade A - General purpose"
3,"Carbon Steel Pipe","B","API5L",35000.000000000,60000.000000000,"API 5L Grade B - Standard carbon steel"
4,"Carbon Steel Pipe","X42","API5L",42000.000000000,60000.000000000,"API 5L Grade X42 - Higher strength"
5,"Carbon Steel Pipe","X46","API5L",46000.000000000,63000.000000000,"API 5L Grade X46"
6,"Carbon Steel Pipe","X52","API5L",52000.000000000,66000.000000000,"API 5L Grade X52 - Common for pipelines"
7,"Carbon Steel Pipe","X56","API5L",56000.000000000,71000.000000000,"API 5L Grade X56"
8,"Carbon Steel Pipe","X60","API5L",60000.000000000,75000.000000000,"API 5L Grade X60 - High strength"
9,"Carbon Steel Pipe","X65","API5L",65000.000000000,77000.000000000,"API 5L Grade X65 - Common for offshore"
10,"Carbon Steel Pipe","X70","API5L",70000.000000000,82000.000000000,"API 5L Grade X70 - High strength offshore"
11,"Carbon Steel Pipe","X80","API5L",80000.000000000,90000.000000000,"API 5L Grade X80 - Very high strength"
12,"Carbon Steel Pipe","X100","API5L",100000.000000000,110000.000000000,"API 5L Grade X100 - Ultra high strength"
13,"Carbon Steel Pipe","X120","API5L",120000.000000000,130000.000000000,"API 5L Grade X120 - Maximum strength"
14,"Low Temp Steel Pipe","A333-6","ASTMA333",35000.000000000,60000.000000000,"ASTM A333 Grade 6 - Low temperature service -46C"
15,"Low Temp Steel Pipe","A333-3","ASTMA333",35000.000000000,65000.000000000,"ASTM A333 Grade 3 - Low temperature service -101C"
16,"Low Temp Steel Pipe","A333-8","ASTMA333",75000.000000000,100000.000000000,"ASTM A333 Grade 8 - High strength low temp"
17,"Stainless Steel Pipe","316L","ASTMA312",25000.000000000,70000.000000000,"ASTM A312 316L - Corrosion resistant"
18,"Stainless Steel Pipe","304L","ASTMA312",25000.000000000,70000.000000000,"ASTM A312 304L - General purpose stainless"
19,"Duplex Steel Pipe","S31803","ASTMA790",65000.000000000,90000.000000000,"ASTM A790 UNS S31803 - Duplex stainless steel"
20,"Super Duplex Pipe","S32750","ASTMA790",80000.000000000,116000.000000000,"ASTM A790 UNS S32750 - Super duplex"
21,"Carbon Steel Pipe","SAWL","API5L",35000.000000000,60000.000000000,"API 5L SAWL - Submerged arc welded"
22,"Carbon Steel Pipe","SAWH","API5L",35000.000000000,60000.000000000,"API 5L SAWH - Submerged arc welded helical"
