temperature_C,pressure_bar,status,acid_moles,ppm,message
-55.0,48.270354091031734,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=0.9591765993935517, beta=0.5000267922682026. Fugacity mismatch for nitric acid: phase 0 f=2.704303198127868E-4 bara, phase 1 f=2.0238519431149994E-4 bara, relative error=0.2516179603987936"
-55.0,135.72565531291107,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=3.4003180251425014, beta=0.5000582427247413. Fugacity mismatch for nitric acid: phase 0 f=5.877822733054626E-4 bara, phase 1 f=2.0238519431154198E-4 bara, relative error=0.6556799966535141"
-55.0,175.75484778167865,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=6.1924873236423545, beta=0.5001447494124193. Fugacity mismatch for nitric acid: phase 0 f=0.0014601456183861367 bara, phase 1 f=2.0238519431154788E-4 bara, relative error=0.8613938282845794"
-52.5,28.786558916360338,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=3.5334111943857565, beta=0.5000729960310698. Fugacity mismatch for nitric acid: phase 0 f=7.582064391994169E-4 bara, phase 1 f=2.656552473269259E-4 bara, relative error=0.6496267591614906"
-52.5,54.92918653486337,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=1.9335004453408182, beta=0.50004567138101. Fugacity mismatch for nitric acid: phase 0 f=4.7445382698740147E-4 bara, phase 1 f=2.656552473269824E-4 bara, relative error=0.4400819801290452"
-45.0,62.50659623693111,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=3.2934629845087913, beta=0.5001295431132157. Fugacity mismatch for nitric acid: phase 0 f=0.0014889568360527878 bara, phase 1 f=5.749037194827352E-4 bara, relative error=0.613888256823616"
-42.5,37.276499191247304,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=13.71891568721132, beta=0.5006554570234818. Fugacity mismatch for nitric acid: phase 0 f=0.007841475772386726 bara, phase 1 f=7.334969537967168E-4 bara, relative error=0.906459322825471"
-40.0,54.92918653486337,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=2.2383138891450765, beta=0.5001368573066425. Fugacity mismatch for nitric acid: phase 0 f=0.001724205002402609 bara, phase 1 f=9.298639534856649E-4 bara, relative error=0.4606998865042512"
-35.0,28.786558916360338,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=0.009065389264424777, beta=0.5001043159438088. Fugacity mismatch for nitric acid: phase 0 f=0.0014707982960983214 bara, phase 1 f=0.0014673813656134137 bara, relative error=0.002323180883450825"
-27.5,154.44883259380532,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=2.3933320000405347, beta=0.5858040182468394. Fugacity mismatch for nitric acid: phase 0 f=0.0012173615316203672 bara, phase 1 f=0.0027886703713898577 bara, relative error=0.5634616611164263"
-27.5,175.75484778167865,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=0.6268155924780519, beta=0.5415316920804304. Fugacity mismatch for nitric acid: phase 0 f=0.002329855056856282 bara, phase 1 f=0.0027886703713898772 bara, relative error=0.16452834269721206"
-27.5,200.0,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=0.23147465457403177, beta=0.5294305500455956. Fugacity mismatch for nitric acid: phase 0 f=0.002623243672811737 bara, phase 1 f=0.0027886703713898985 bara, relative error=0.0593209940749331"
-25.0,135.72565531291107,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=2.6203325992393856, beta=0.5938488418199737. Fugacity mismatch for nitric acid: phase 0 f=0.0013541140090439284 bara, phase 1 f=0.0034183590536307844 bara, relative error=0.6038701646611212"
-25.0,154.44883259380532,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=0.7919990070058459, beta=0.5467090786345266. Fugacity mismatch for nitric acid: phase 0 f=0.002706596306749918 bara, phase 1 f=0.003418359053630814 bara, relative error=0.2082176669314174"
-25.0,175.75484778167865,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=0.31482912075403563, beta=0.5330210320579617. Fugacity mismatch for nitric acid: phase 0 f=0.0031390586238907604 bara, phase 1 f=0.003418359053630846 bara, relative error=0.08170599558388221"
-25.0,200.0,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=0.14275629269271278, beta=0.5261172922016369. Fugacity mismatch for nitric acid: phase 0 f=0.003295247265472134 bara, phase 1 f=0.0034183590536308738 bara, relative error=0.03601487913564087"
-22.5,175.75484778167865,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=1.605316141782735, beta=0.5690925047381259. Fugacity mismatch for nitric acid: phase 0 f=0.0024843451369350677 bara, phase 1 f=0.004169741169908836 bara, relative error=0.4041967988652439"
-22.5,200.0,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=0.4467753391889529, beta=0.538240495281527. Fugacity mismatch for nitric acid: phase 0 f=0.003683245867702414 bara, phase 1 f=0.004169741169908869 bara, relative error=0.11667278192643493"
12.5,104.81334508054151,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=0.3889996831916336, beta=0.5028645000935092. Fugacity mismatch for nitric acid: phase 0 f=0.04800826725896803 bara, phase 1 f=0.04380139942431025 bara, relative error=0.08762798732070311"
35.0,80.94149393970646,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=4.564295900087563, beta=0.5165048701687058. Fugacity mismatch for nitric acid: phase 0 f=0.2242000237674492 bara, phase 1 f=0.1431196718038781 bara, relative error=0.3616429231411298"
35.0,92.10726755059568,ERROR,1000000.0,nan,"java.lang.IllegalStateException: Van Laar TPflash did not converge to a fugacity-consistent phase split. Last deviation=1.7005210016181553, beta=0.5150055568025583. Fugacity mismatch for nitric acid: phase 0 f=0.19991147313290705 bara, phase 1 f=0.14311967180388846 bara, relative error=0.28408475231064767"
