gc_label,neqsim_name,pna_class,notes
Methane,methane,P,
methane,methane,P,
Ethane,ethane,P,
ethane,ethane,P,
Propane,propane,P,
propane,propane,P,
i-Butane,i-butane,P,
i-butane,i-butane,P,
isobutane,i-butane,P,
n-Butane,n-butane,P,
n-butane,n-butane,P,
i-Pentane,i-pentane,P,
i-pentane,i-pentane,P,
isopentane,i-pentane,P,
n-Pentane,n-pentane,P,
n-pentane,n-pentane,P,
2-M-C4,i-pentane,P,alias for isopentane
n-Hexane,n-hexane,P,
n-hexane,n-hexane,P,
n-Heptane,n-heptane,P,
n-heptane,n-heptane,P,
n-Octane,n-octane,P,
n-octane,n-octane,P,
n-Nonane,n-nonane,P,
n-nonane,n-nonane,P,
n-Decane,nC10,P,
nC10,nC10,P,
nC11,nC11,P,
nC12,nC12,P,
nC13,nC13,P,
nC14,nC14,P,
nC15,nC15,P,
nC16,nC16,P,
nC17,nC17,P,
2-M-C5,2-M-C5,P,
3-M-C5,3-M-C5,P,
2-M-C6,2-M-C6,P,
3-M-C6,3-M-C6,P,
2-M-C7,2-M-C7,P,
3-M-C7,3-M-C7,P,
2,2-DM-C3,22-dim-C3,P,
22-dim-C3,22-dim-C3,P,
22-DM-C3,22-dim-C3,P,
2,2-DM-C4,22-DM-C4,P,
22-DM-C4,22-DM-C4,P,
2,3-DM-C4,23-DM-C4,P,
23-DM-C4,23-DM-C4,P,
2,3-DM-C5,23-DM-C5,P,
23-DM-C5,23-DM-C5,P,
2,4-DM-C5,24-DM-C5,P,
24-DM-C5,24-DM-C5,P,
2,5-DM-C6,25-DM-C6,P,
25-DM-C6,25-DM-C6,P,
2,4-DM-C6,24-DM-C6,P,
24-DM-C6,24-DM-C6,P,
2,3-DM-C6,23-DM-C6,P,
23-DM-C6,23-DM-C6,P,
2,6-DM-C7,26-DM-C7,P,
26-DM-C7,26-DM-C7,P,
2,2,4-TM-C5,224-TM-C5,P,
224-TM-C5,224-TM-C5,P,
2,3,4-TM-C5,234-TM-C5,P,
234-TM-C5,234-TM-C5,P,
Cy-C5,c-C5,N,cyclopentane
c-C5,c-C5,N,
cyclopentane,c-C5,N,
Cy-C6,c-hexane,N,cyclohexane
c-hexane,c-hexane,N,
cyclohexane,c-hexane,N,
M-Cy-C5,M-cy-C5,N,methylcyclopentane
M-cy-C5,M-cy-C5,N,
M-Cy-C6,M-cy-C6,N,methylcyclohexane
M-cy-C6,M-cy-C6,N,
E-Cy-C5,E-cy-C5,N,ethylcyclopentane
E-cy-C5,E-cy-C5,N,
E-Cy-C6,E-cy-C6,N,ethylcyclohexane
E-cy-C6,E-cy-C6,N,
1,1-DM-Cy-C5,11-DM-cy-C5,N,
11-DM-cy-C5,11-DM-cy-C5,N,
cis-1,3-DM-Cy-C5,cis-13-DM-cy-C5,N,
cis-13-DM-cy-C5,cis-13-DM-cy-C5,N,
trans-1,3-DM-Cy-C5,trans-13-DM-cy-C5,N,
trans-13-DM-cy-C5,trans-13-DM-cy-C5,N,
trans-1,2-DM-Cy-C5,trans-12-DM-cy-C5,N,
trans-12-DM-cy-C5,trans-12-DM-cy-C5,N,
1,1,3-TM-Cy-C5,113-TM-cy-C5,N,
113-TM-cy-C5,113-TM-cy-C5,N,
Benzene,benzene,A,
benzene,benzene,A,
Toluene,toluene,A,
toluene,toluene,A,
Ethylbenzene,ethylbenzene,A,
Etylbenzene,ethylbenzene,A,Norwegian spelling
ethylbenzene,ethylbenzene,A,
m-Xylene,m-Xylene,A,
m-xylene,m-Xylene,A,
p-Xylene,p-Xylene,A,
p-xylene,p-Xylene,A,
o-Xylene,o-Xylene,A,
o-xylene,o-Xylene,A,
CO2,CO2,O,carbon dioxide
Carbondioxide,CO2,O,
carbon dioxide,CO2,O,
N2,nitrogen,O,
Nitrogen,nitrogen,O,
nitrogen,nitrogen,O,
O2,oxygen,O,
Oxygen,oxygen,O,
oxygen,oxygen,O,
H2S,H2S,O,hydrogen sulfide
hydrogen sulfide,H2S,O,
H2O,water,O,
Water,water,O,
water,water,O,
H2,hydrogen,O,
Hydrogen,hydrogen,O,
hydrogen,hydrogen,O,
He,helium,O,
Helium,helium,O,
helium,helium,O,
Ar,argon,O,
Argon,argon,O,
argon,argon,O,
