system,variant,max_composition_diff,outlet_T_diff_C
S1,adaptive,3.62e-05,145.23000000000002
S1,armijo,1.67e-15,0.0
S1,regularized,0.00e+00,0.0
S1,combined,3.63e-05,145.23000000000002
S2,adaptive,3.25e-05,150.14999999999986
S2,armijo,8.60e-15,0.0
S2,regularized,0.00e+00,0.0
S2,combined,3.25e-05,150.14999999999986
S3,adaptive,2.53e-05,0.0
S3,armijo,1.11e-16,0.0
S3,regularized,0.00e+00,0.0
S3,combined,2.53e-05,0.0
S4,adaptive,9.35e-07,0.0
S4,armijo,0.00e+00,0.0
S4,regularized,0.00e+00,0.0
S4,combined,9.35e-07,0.0
S5,adaptive,1.69e-10,0.0
S5,armijo,0.00e+00,0.0
S5,regularized,0.00e+00,0.0
S5,combined,1.69e-10,0.0
