"ID","NAME","CASnumber","COMPTYPE","COMPINDEX","FORMULA","MOLARMASS","LIQDENS","TC","PC","ACSFACT","NORMBOIL","MWAVG","CRITVOL","PVMODEL","Href","CPA","CPB","CPC","CPD","CPE","AntoineVapPresLiqType","ANTOINEA","ANTOINEB","ANTOINEC","ANTOINED","ANTOINEE","DIPOLEMOMENT","VISCFACT","RACKETZ","volcorrSRK_T","LJDIAMETER","LJEPS","SphericalCoreRadius","LIQVISCMODEL","LIQVISC1","LIQVISC2","LIQVISC3","LIQVISC4","GIBBSENERGYOFFORMATION","DIELECTRICPARAMETER1","DIELECTRICPARAMETER2","DIELECTRICPARAMETER3","DIELECTRICPARAMETER4","DIELECTRICPARAMETER5","IONICCHARGE","REFERENCESTATETYPE","HenryCoef1","HenryCoef2","HenryCoef3","HenryCoef4","SCHWARTZENTRUBER1","SCHWARTZENTRUBER2","SCHWARTZENTRUBER3","LIQUIDCONDUCTIVITY1","LIQUIDCONDUCTIVITY2","LIQUIDCONDUCTIVITY3","PARACHOR","HEATOFFUSION","TRIPLEPOINTDENSITY","TRIPLEPOINTPRESSURE","TRIPLEPOINTTEMPERATURE","MELTINGPOINTTEMPERATURE","ENTHALPYOFFORMATION","ABSOLUTEENTROPY","SOLIDDENSITYCOEFS1","SOLIDDENSITYCOEFS2","SOLIDDENSITYCOEFS3","SOLIDDENSITYCOEFS4","SOLIDDENSITYCOEFS5","LIQUIDDENSITYCOEFS1","LIQUIDDENSITYCOEFS2","LIQUIDDENSITYCOEFS3","LIQUIDDENSITYCOEFS4","LIQUIDDENSITYCOEFS5","HEATOFVAPORIZATIONCOEFS1","HEATOFVAPORIZATIONCOEFS2","HEATOFVAPORIZATIONCOEFS3","HEATOFVAPORIZATIONCOEFS4","HEATOFVAPORIZATIONCOEFS5","STDDENS","MC1","MC2","MC3","MC1Solid","MC2Solid","MC3Solid","TwuCoon1","TwuCoon2","TwuCoon3","associationsites","associationscheme","racketZCPA","volcorrCPA_T","associationboundingvolume_SRK","associationenergy","aCPA_SRK","bCPA_SRK","mCPA_SRK","aCPA_PR","bCPA_PR","mCPA_PR","associationboundingvolume_PR","calcActivity","ANTOINESolidA","ANTOINESolidB","ANTOINESolidC","Hsub","criticalViscosity","HydrateA1Small","HydrateB1Small","HydrateA1Large","HydrateB1Large","HydrateA2Small","HydrateB2Small","HydrateA2Large","HydrateB2Large","HydrateFormer","mSAFT","sigmaSAFT","epsikSAFT","associationboundingvolume_PCSAFT","associationenergy_PCSAFT","LJDIAMETERHYDRATE","LJEPSHYDRATE","SphericalCoreRadiusHYDRATE","DeshMatIonicDiameter","waxformer","B2_largeGF","A1_smallGF","B1_smallGF","A1_largeGF","B1_largeGF","A2_smallGF","B2_smallGF","A2_largeGF","CPsolid1","CPsolid2","CPsolid3","CPsolid4","CPsolid5","CPliquid1","CPliquid2","CPliquid3","CPliquid4","CPliquid5","MCPR1","MCPR2","MCPR3","PARACHOR_CPA"
1,"methane","74-82-8","HC",1,"CH4                                               ",16.04,0.42,-82.59,45.99,0.01,-161.55,16.04,99.00,"Classic                                           ",2.60,37.97,-0.07,3.0188134e-04,-2.8325798e-07,9.070574e-11,"pow10",3.76,395.74,266.68,0.00,0.00,0.00,0.00,0.00,0.00,2.52,155.80,0.40,3,-26.87,1150.00,0.18,-5.21e-04,-50500.00,2.00,0.00,0.00,0.00,0.00,0,"solute                                            ",900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,-6.05e-04,-3.2e-06,77.30,941.00,452.00,0.11,90.69,90.65,-74520.00,186.00,33.02,-0.01,-1.55e-04,0.00,0.00,2.92,0.29,191.00,0.28,0.00,8170.00,0.00,0.00,0.00,0.00,0.10,0.58,-0.72,1.28,0.00,0.00,0.00,0.12,0.91,2.74,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.18,1,1.00,-6.68,0.00,9700,1.5293e-05,0.04,1594.00,0.01,2952.00,2.317e-03,2777.00,1.07,1323.00,"yes",1.00,3.70,150.02,0.00,0.00,3.19,155.80,0.40,1.00,0,900.00,6.21e-04,2760.00,0.42,1963.10,4.04868e-03,2636.75,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,77.30
2,"ethane                                            ","74-84-0","HC",2,"C2H6                                              ",30.07,0.54,32.17,48.72,0.09,-88.55,30.07,148.00,"Classic                                           ",9761.10,34.73,-0.03,4.705724e-04,-5.5296414e-07,2.0676918e-10,"pow10",3.95,663.72,256.68,0.00,0.00,1.70,0.00,0.00,0.00,3.26,176.70,0.51,3,-10.23,668.00,0.04,-9.59e-05,-31900.00,2.00,0.00,0.00,0.00,0.00,0,"solute                                            ",0.00,0.00,0.00,0.00,2.582841e-03,12.53,-18.38,-0.38,5.25e-03,-6.37e-06,108.90,2860.00,652.00,1.14028e-05,90.35,89.95,-84680.00,229.00,25.26,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14703.00,0.00,0.00,0.00,0.00,0.10,0.65,-0.18,0.26,0.00,0.00,0.00,0.29,0.87,1.67,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.04,1,1.00,-3.33,0.00,20500,2.17562e-05,0.00,0.00,2.999e-03,3861.00,0.00,0.00,7.362e-03,4000.00,"yes",1.60,3.52,191.42,0.00,0.00,3.26,176.70,0.51,1.00,0,3363.00,0.00,0.00,0.10,2854.94,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,4.3e-03,0.10,108.90
3,"Cl-                                               ","0-0-0-0","ion",3,"Cl-                                               ",35.45,0.79,444.15,290.89,0.34,64.55,99.45,99.00,"Classic                                           ",1374.60,36.54,-0.03,1.168117e-04,-1.3003096e-07,0.00,"log",-8.54,0.76,-3.10,1.54,0.00,1.70,0.21,0.00,0.00,3.60,481.80,0.00,3,-39.35,4826.00,0.10,-1.13e-04,-587000.00,0.00,0.00,0.00,0.00,0.00,-1,"solute                                            ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,5.25e-03,-6.37e-06,52.87,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",0.00,0.00,0.00,0.00,0.00,3.60,481.80,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.00
4,"Na+                                               ","0-0-0-0","ion",4,"Na+                                               ",22.99,0.79,444.15,290.89,0.34,64.55,22.99,99.00,"Classic                                           ",1374.60,36.54,-0.03,1.168117e-04,-1.3003096e-07,0.00,"log",-8.54,0.76,-3.10,1.54,0.00,1.70,0.21,0.00,0.00,5.68,481.80,0.00,3,-39.35,4826.00,0.10,-1.13e-04,-587000.00,0.00,0.00,0.00,0.00,0.00,1,"solute                                            ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,5.25e-03,-6.37e-06,52.87,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",0.00,0.00,0.00,0.00,0.00,3.68,481.80,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.00
5,"Mg++                                              ","0-0-0-0","ion",5,"Mg++",24.31,0.79,444.15,290.89,0.34,64.55,24.31,99.00,"Classic                                           ",0.00,0.00,0.00,0.00,0.00,0.00,"log",-8.54,0.76,-3.10,1.54,0.00,1.70,0.21,0.00,0.00,6.94,481.80,0.00,3,-39.35,4826.00,0.10,-1.13e-04,-587000.00,0.00,0.00,0.00,0.00,0.00,2,"solute",0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,5.25e-03,-6.37e-06,207.00,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",0.00,0.00,0.00,0.00,0.00,6.94,481.80,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.00
6,"MDEA                                              ","74-82-8","amine",6,"MDEA                                              ",119.16,1.03,403.85,38.76,1.24,140.00,119.16,99.00,"Classic                                           ",0.00,0.00,0.00,0.00,0.00,0.00,"log",-8.54,0.76,-3.10,1.54,0.00,1.70,0.21,0.26,0.00,4.50,481.80,0.00,3,-75.19,12680.00,0.15,-1.225e-04,57900.00,8.16,8989.30,0.00,0.00,0.00,0,"solvent",0.00,0.00,0.00,0.00,0.52,-1.15,-0.01,-0.38,5.25e-03,-6.37e-06,207.00,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.79,2.29,-2.15,1.53,0.00,0.00,0.00,0.00,0.00,0.00,4,"4C",0.00,0.00,0.01,12276.38,342400.60,10.82,1.03,376276.88,10.78,1.25,0.00,1,17.38,1.76,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",0.00,0.00,0.00,0.00,0.00,4.50,481.80,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.00
7,"MDEA+                                             ","74-82-8","ion",7,"CH4O                                              ",120.16,1.03,403.85,38.76,1.24,64.55,120.16,99.00,"Classic                                           ",0.00,0.00,0.00,0.00,0.00,0.00,"log",-8.54,0.76,-3.10,1.54,0.00,1.70,0.21,0.00,0.00,4.50,481.80,0.00,3,-39.35,4826.00,0.10,-1.13e-04,0.00,0.00,0.00,0.00,0.00,0.00,1,"solute                                            ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,5.25e-03,-6.37e-06,207.00,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",0.00,0.00,0.00,0.00,0.00,4.50,481.80,0.00,1.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.00
8,"H3O+                                              ","74-82-8","ion",8,"H3O",19.02,0.79,444.15,290.89,0.34,64.55,19.02,99.00,"Classic                                           ",0.00,0.00,0.00,0.00,0.00,0.00,"log",-8.54,0.76,-3.10,1.54,0.00,1.70,0.21,0.00,0.00,4.06,481.80,0.00,3,-39.35,4826.00,0.10,-1.13e-04,0.00,0.00,0.00,0.00,0.00,0.00,1,"solute                                            ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,5.25e-03,-6.37e-06,207.00,6000.00,1000.00,6.11e-03,273.00,273.00,-242000.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52100000.00,0.32,-0.21,0.25,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,"0",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"no",0.00,0.00,0.00,0.00,0.00,4.06,481.80,0.00,9.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.00
9,"propane","74-98-6","HC",9,"CH4O                                              ",44.09,0.00,96.68,42.48,0.15,-42.05,44.09,203.00,"Classic                                           ",19519.60,31.98,0.04,4.9975454e-04,-6.5622402e-07,2.5598806e-10,"pow10",3.92,803.99,247.04,0.00,0.00,0.00,0.00,0.00,0.00,3.32,205.88,0.66,3,-7.76,722.00,0.02,-4.67e-05,-24400.00,2.00,0.00,0.00,0.00,0.00,0,"solute                                            ",0.00,0.00,0.00,0.00,-0.01,-4.34,4.00,-0.38,5.25e-03,-6.37e-06,151.90,6000.00,1000.00,1.71089e-09,85.47,85.50,-103840.00,189.00,18.86,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15700.00,0.00,0.00,0.00,0.00,0.10,0.72,-0.09,0.18,0.00,0.00,0.00,0.43,0.86,1.39,0,"0",0.00,0.00,0.00,0.00,91187.50,5.78,0.63,0.00,0.00,0.00,5.24,1,1.00,-11.12,0.00,28500,2.49734e-05,0.00,0.00,0.00,0.00,0.00,0.00,8.264e-03,4521.00,"yes",2.00,3.61,208.11,0.00,0.00,3.32,205.88,0.66,1.00,0,3885.27,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,-0.16,0.48,151.90
10,"CO2","124-38-9","inert",10,"CO2                                               ",44.01,1.10,31.04,73.81,0.22,-78.50,44.01,94.00,"Classic                                           ",19459.10,27.09,0.01,1.2487628e-04,-1.9737436e-07,8.779584e-11,"pow10",7.53,835.06,268.22,0.00,0.00,0.00,0.00,0.00,0.00,2.34,168.77,0.68,2,-7.81,3140.00,0.00,0.00,-394000.00,2.00,0.00,0.00,0.00,0.00,0,"solute                                            ",94.49,-6789.04,-11.45,-0.01,0.00,0.00,0.00,-0.38,5.25e-03,-6.37e-06,78.00,9018.96,1000.00,5.18,216.58,216.59,-393500.00,189.00,32.93,0.06,-2.847e-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14490.00,0.00,0.00,0.00,0.00,0.10,0.88,-0.85,3.09,0.00,0.00,0.00,1.41,-0.60,1.10,2,"2A",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6.81,-1301.67,-3.49,26100,3.76872e-05,4.856e-11,7470.00,0.09,2617.00,6.082e-05,3691.00,0.16,2591.00,"yes",1.30,3.25,92.15,0.00,0.00,3.03,170.16,0.68,1.00,0,2119.56,7.58596e-04,2500.00,0.23,2419.56,7.24496e-03,2330.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,-0.44,2.43,78.00
