"ID","ComponentName","MolarMass","Z0","Z15","Z20","srtb0","srtb15","srtb20","Hsupmolar0","Hsupmolar15","Hsupmolar20","Hsupmolar25","Hsupmolar60F","Hinfmolar0","Hinfmolar15","Hinfmolar20","Hinfmolar25","Hinfmolar60F","numberOfCarbon"
25,"2-Methylpropene",56.10,0.96,0.97,0.97,0.18,0.17,0.16,2704.80,2702.00,2701.10,2700.20,2702.00,2524.50,2524.30,2524.20,2524.10,2524.30,3
26,"1-Pentene",70.13,0.93,0.94,0.95,0.24,0.22,0.21,3381.29,3377.75,3376.57,3375.42,3377.75,3155.92,3155.59,3155.45,3155.34,3155.59,3
27,"Propadiene",40.06,0.98,0.98,0.98,0.14,0.13,0.12,1945.25,1943.96,1943.53,1943.11,1943.96,1855.10,1855.09,1855.08,1855.08,1855.09,3
28,"1,2-Butadiene",54.09,0.95,0.96,0.96,0.21,0.19,0.18,2597.13,2595.12,2594.45,2593.79,2595.12,2461.91,2461.82,2461.78,2461.74,2461.82,3
29,"1,3-Butadiene",54.09,0.96,0.97,0.97,0.18,0.17,0.16,2544.13,2542.10,2541.43,2540.77,2542.10,2408.91,2408.80,2408.76,2408.72,2408.80,3
30,"acetylene",26.03,0.99,0.99,0.99,0.09,0.08,0.08,1301.86,1301.37,1301.21,1301.05,1301.37,1256.79,1256.94,1256.98,1257.03,1256.94,3
31,"c-C5",70.13,0.93,0.94,0.95,0.25,0.23,0.22,3326.14,3322.19,3320.88,3319.59,3322.19,3100.77,3100.03,3099.76,3099.51,3100.03,5
32,"M-cy-C5",84.16,0.90,0.92,0.92,0.31,0.28,0.27,3977.04,3972.46,3970.93,3969.44,3972.46,3706.60,3705.86,3705.59,3705.34,3705.86,6
33,"E-cy-C5",98.18,0.84,0.87,0.88,0.39,0.35,0.33,4637.27,4631.95,4630.19,4628.47,4631.95,4321.75,4320.92,4320.63,4320.36,4320.92,6
34,"c-hexane",84.16,0.89,0.91,0.92,0.32,0.28,0.27,3960.67,3956.02,3954.47,3952.96,3956.02,3690.23,3689.42,3689.13,3688.86,3689.42,6
35,"Methylcyclohexane",98.18,0.85,0.88,0.89,0.38,0.33,0.32,4609.34,4604.09,4602.35,4600.64,4604.09,4293.82,4293.06,4292.78,4292.53,4293.06,7
36,"ethylcyclohexane",112.21,0.77,0.82,0.83,0.47,0.41,0.40,5272.88,5266.95,5264.98,5263.05,5266.95,4912.29,4911.49,4911.19,4910.92,4911.49,7
37,"benzene",78.11,0.90,0.92,0.93,0.30,0.27,0.25,3305.03,3302.86,3302.15,3301.43,3302.86,3169.81,3169.56,3169.48,3169.38,3169.56,6
38,"toluene",92.14,0.84,0.88,0.89,0.38,0.34,0.32,3952.72,3949.81,3948.84,3947.89,3949.81,3772.42,3772.08,3771.95,3771.83,3772.08,7
39,"ethylbenzene",106.16,0.76,0.82,0.83,0.48,0.42,0.40,4613.14,4609.53,4608.32,4607.15,4609.53,4387.77,4387.37,4387.20,4387.07,4387.37,8
40,"o-Xylene",106.16,0.73,0.80,0.82,0.51,0.44,0.42,4602.17,4598.64,4597.46,4596.31,4598.64,4376.80,4376.48,4376.34,4376.23,4376.48,8
41,"methanol",32.04,0.77,0.87,0.89,0.47,0.35,0.32,766.59,765.09,764.59,764.09,765.09,676.44,676.22,676.14,676.06,676.22,3
42,"Methanethiol",48.10,0.97,0.97,0.97,0.16,0.15,0.14,1241.63,1240.28,1239.83,1239.39,1240.28,1151.48,1151.41,1151.39,1151.36,1151.41,3
43,"hydrogen",2.01,1.00,1.00,1.00,0.00,0.00,0.00,286.63,286.15,285.99,285.83,286.15,241.56,241.72,241.76,241.81,241.72,0
44,"water",18.01,0.93,0.94,0.95,0.26,0.23,0.21,45.07,44.43,44.22,44.01,44.43,0.00,0.00,0.00,0.00,0.00,0
45,"H2S",34.08,0.99,0.99,0.99,0.10,0.10,0.10,562.94,562.38,562.19,562.01,562.38,517.87,517.95,517.97,517.99,517.95,0
46,"Ammonia",17.03,0.98,0.98,0.98,0.12,0.10,0.10,384.57,383.51,383.16,382.81,383.51,316.96,316.86,316.82,316.79,316.86,0
47,"hydrogencyanide",27.02,0.88,0.91,0.92,0.33,0.29,0.28,671.90,671.70,671.60,671.50,671.70,649.40,649.50,649.50,649.50,649.50,0
48,"carbonmonoxide",28.01,0.99,0.99,0.99,0.02,0.02,0.02,282.80,282.91,282.95,282.98,282.91,282.80,282.91,282.95,282.98,282.91,0
49,"carbonylsulfide",60.07,0.98,0.98,0.98,0.12,0.11,0.10,548.01,548.15,548.19,548.23,548.15,548.01,548.15,548.19,548.23,548.15,0
50,"carbondisulfide",76.14,0.95,0.96,0.96,0.21,0.19,0.18,1104.06,1104.32,1104.41,1104.49,1104.32,1104.06,1104.32,1104.41,1104.49,1104.32,0
51,"helium",4.00,1.00,1.00,1.00,6.0e-04,2.0e-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
52,"Neon",20.17,1.00,1.00,1.00,6.0e-04,2.0e-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
53,"argon",39.94,0.99,0.99,0.99,0.03,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
54,"nitrogen",28.01,0.99,0.99,0.99,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
55,"oxygen",31.99,0.99,0.99,0.99,0.03,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
56,"CO2",44.01,0.99,0.99,0.99,0.08,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
57,"SulfurDioxide",64.06,0.97,0.97,0.98,0.15,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
58,"iC5",72.15,0.93,0.94,0.95,0.25,0.22,0.21,3535.98,3531.68,3530.24,3528.83,3531.52,3265.54,3265.08,3264.89,3264.73,3265.06,5
