"ID","ComponentName","MolarMass","Z0","Z15","Z20","srtb0","srtb15","srtb20","Hsupmolar0","Hsupmolar15","Hsupmolar20","Hsupmolar25","Hsupmolar60F","Hinfmolar0","Hinfmolar15","Hinfmolar20","Hinfmolar25","Hinfmolar60F","numberOfCarbon"
1,"methane",16.04,0.99,0.99,0.99,0.04,0.04,0.04,892.97,891.56,891.09,890.63,891.51,802.82,802.69,802.65,802.60,802.69,1
2,"ethane",30.07,0.99,0.99,0.99,0.10,0.09,0.08,1564.34,1562.14,1561.41,1560.69,1562.06,1429.12,1428.84,1428.74,1428.64,1428.83,2
3,"propane",44.09,0.97,0.98,0.98,0.14,0.13,0.12,2224.01,2221.10,2220.13,2219.17,2220.99,2043.71,2043.37,2043.23,2043.11,2043.35,3
4,"n-butane",58.12,0.95,0.96,0.96,0.20,0.18,0.17,2883.82,2879.76,2878.57,2877.40,2879.63,2658.45,2657.60,2657.45,2657.32,2657.58,4
6,"i-butane",58.12,0.95,0.96,0.97,0.20,0.17,0.17,2874.20,2870.58,2869.38,2868.20,2870.45,2648.83,2648.42,2648.26,2648.12,2648.40,4
7,"n-pentane",72.15,0.91,0.93,0.94,0.28,0.25,0.23,3542.89,3538.60,3537.17,3535.77,3538.44,3272.45,3272.00,3271.83,3271.67,3271.98,5
8,"i-pentane",72.15,0.93,0.94,0.95,0.25,0.22,0.21,3535.98,3531.68,3530.24,3528.83,3531.52,3265.54,3265.08,3264.89,3264.73,3265.06,5
9,"22-dim-C3",72.15,0.94,0.95,0.95,0.23,0.21,0.20,3521.72,3517.43,3516.01,3514.61,3517.27,3251.28,3250.83,3250.67,3250.51,3250.81,5
11,"n-hexane",86.17,0.89,0.91,0.91,0.32,0.29,0.28,4203.23,4198.24,4196.58,4194.95,4198.06,3887.71,3887.21,3887.01,3886.84,3887.19,6
12,"2-m-C5",86.17,0.89,0.91,0.92,0.31,0.29,0.27,4195.61,4190.62,4188.95,4187.32,4190.43,3880.09,3879.59,3879.38,3879.21,3879.57,6
13,"3-m-C5",86.17,0.89,0.91,0.92,0.31,0.28,0.26,4198.24,4193.22,4191.54,4189.90,4193.03,3882.72,3882.19,3881.97,3881.79,3882.17,6
14,"22-dim-C4",86.17,0.91,0.93,0.93,0.28,0.26,0.25,4185.84,4180.83,4179.15,4177.52,4180.64,3870.32,3869.80,3869.59,3869.41,3869.78,6
15,"23-dim-C4",86.17,0.91,0.92,0.93,0.30,0.27,0.25,4193.63,4188.60,4186.93,4185.28,4188.41,3878.11,3877.57,3877.36,3877.17,3877.55,6
16,"n-heptane",100.20,0.83,0.86,0.87,0.41,0.36,0.35,4862.87,4857.18,4855.29,4853.43,4856.97,4502.28,4501.72,4501.49,4501.30,4501.69,7
17,"n-octane",114.23,0.74,0.80,0.81,0.50,0.44,0.42,5522.40,5516.01,5513.88,5511.80,5515.77,5116.73,5116.11,5115.87,5115.66,5116.08,8
18,"n-nonane",128.25,0.61,0.71,0.73,0.62,0.53,0.51,6182.91,6175.82,6173.46,6171.15,6175.56,5732.17,5731.49,5731.22,5730.99,5731.46,9
19,"nC10",142.28,0.43,0.58,0.62,0.75,0.64,0.61,6842.69,6834.90,6832.31,6829.77,6834.61,6346.88,6346.14,6345.85,6345.59,6346.11,10
20,"Ethylene",28.05,0.99,0.99,0.99,0.08,0.08,0.07,1413.51,1412.11,1411.65,1411.18,1412.06,1323.36,1323.24,1323.20,1323.15,1323.24,3
21,"Propylene",42.08,0.98,0.98,0.98,0.13,0.12,0.12,2061.57,2059.43,2058.72,2058.02,2059.35,1926.35,1926.13,1926.05,1925.97,1926.12,3
22,"1-Butene",56.10,0.96,0.97,0.97,0.18,0.17,0.16,2721.55,2718.70,2717.75,2716.82,2718.59,2541.25,2540.97,2540.86,2540.76,2540.96,3
23,"cis-2-Butene",56.10,0.96,0.96,0.96,0.19,0.18,0.17,2714.90,2711.90,2711.00,2710.00,2711.80,2534.60,2534.20,2534.10,2533.90,2534.20,3
24,"trans-2-Butene",56.10,0.96,0.96,0.96,0.19,0.17,0.17,2711.10,2708.30,2707.40,2706.40,2708.30,2530.80,2530.50,2530.50,2530.30,2530.50,3
