"ID","ion1","ion2","beta0_25","beta1_25","Cphi_25","beta0_T1","beta0_T2","beta1_T1","beta1_T2","Cphi_T1","Cphi_T2","Tmin","Tmax","Reference"
1,"Na+","Cl-",0.0765,0.2664,0.00127,-777.03,4.981,-328.8,1.727,29.72,-0.0802,273.15,573.15,"Pitzer1984"
2,"Na+","SO4--",0.01958,1.0994,0.00497,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Pitzer1986"
3,"K+","Cl-",0.04835,0.2122,-0.00084,-355.0,2.345,-220.0,1.03,20.0,-0.055,273.15,523.15,"Pitzer1984"
4,"K+","SO4--",0.04995,0.7793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Pitzer1986"
5,"Ca++","Cl-",0.3159,1.6140,-0.00034,-693.0,5.11,-1150.0,6.0,14.0,-0.034,273.15,523.15,"Phutela1990"
6,"Ca++","SO4--",0.20,3.1973,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Pitzer1986"
7,"Mg++","Cl-",0.3524,1.6815,-0.00519,-620.0,4.56,-1000.0,5.2,32.0,-0.098,273.15,523.15,"Phutela1990"
8,"Mg++","SO4--",0.2210,3.3430,-0.02530,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Pitzer1986"
9,"Ba++","Cl-",0.2628,1.4963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Pitzer1991"
10,"Ba++","SO4--",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Monnin1999"
11,"Sr++","Cl-",0.2858,1.667,-0.00130,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Pitzer1991"
12,"Sr++","SO4--",0.20,3.1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Pitzer1991"
13,"Fe++","Cl-",0.3359,1.5322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Pitzer1991"
14,"Fe++","SO4--",0.2568,3.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Pitzer1991"
15,"Na+","HCO3-",0.0277,0.0411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Peiper1982"
16,"Na+","CO3--",0.0399,1.389,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Peiper1982"
17,"Ca++","HCO3-",0.40,2.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Plummer1988"
18,"Mg++","HCO3-",0.329,0.6072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Harvie1984"
19,"Na+","OH-",0.0864,0.253,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Pitzer1984"
20,"K+","HCO3-",-0.0107,0.0478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Peiper1982"
21,"K+","CO3--",0.1488,1.43,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,273.15,473.15,"Peiper1982"
