ID,NAME,CASnumber,COMPTYPE,COMPINDEX,FORMULA,MOLARMASS,LIQDENS,TC,PC,ACSFACT,NORMBOIL,MWAVG,CRITVOL,PVMODEL,Href,CPA,CPB,CPC,CPD,CPE,AntoineVapPresLiqType,ANTOINEA,ANTOINEB,ANTOINEC,ANTOINED,ANTOINEE,DIPOLEMOMENT,VISCFACT,RACKETZ,volcorrSRK_T,LJDIAMETER,LJEPS,SphericalCoreRadius,LIQVISCMODEL,LIQVISC1,LIQVISC2,LIQVISC3,LIQVISC4,GIBBSENERGYOFFORMATION,DIELECTRICPARAMETER1,DIELECTRICPARAMETER2,DIELECTRICPARAMETER3,DIELECTRICPARAMETER4,DIELECTRICPARAMETER5,IONICCHARGE,REFERENCESTATETYPE,HenryCoef1,HenryCoef2,HenryCoef3,HenryCoef4,SCHWARTZENTRUBER1,SCHWARTZENTRUBER2,SCHWARTZENTRUBER3,LIQUIDCONDUCTIVITY1,LIQUIDCONDUCTIVITY2,LIQUIDCONDUCTIVITY3,PARACHOR,HEATOFFUSION,TRIPLEPOINTDENSITY,TRIPLEPOINTPRESSURE,TRIPLEPOINTTEMPERATURE,MELTINGPOINTTEMPERATURE,ENTHALPYOFFORMATION,ABSOLUTEENTROPY,SOLIDDENSITYCOEFS1,SOLIDDENSITYCOEFS2,SOLIDDENSITYCOEFS3,SOLIDDENSITYCOEFS4,SOLIDDENSITYCOEFS5,LIQUIDDENSITYCOEFS1,LIQUIDDENSITYCOEFS2,LIQUIDDENSITYCOEFS3,LIQUIDDENSITYCOEFS4,LIQUIDDENSITYCOEFS5,HEATOFVAPORIZATIONCOEFS1,HEATOFVAPORIZATIONCOEFS2,HEATOFVAPORIZATIONCOEFS3,HEATOFVAPORIZATIONCOEFS4,HEATOFVAPORIZATIONCOEFS5,STDDENS,MC1,MC2,MC3,MC1Solid,MC2Solid,MC3Solid,TwuCoon1,TwuCoon2,TwuCoon3,associationsites,associationscheme,racketZCPA,volcorrCPA_T,associationboundingvolume_SRK,associationenergy,aCPA_SRK,bCPA_SRK,mCPA_SRK,aCPA_PR,bCPA_PR,mCPA_PR,associationboundingvolume_PR,calcActivity,ANTOINESolidA,ANTOINESolidB,ANTOINESolidC,Hsub,criticalViscosity,HydrateA1Small,HydrateB1Small,HydrateA1Large,HydrateB1Large,HydrateA2Small,HydrateB2Small,HydrateA2Large,HydrateB2Large,HydrateFormer,mSAFT,sigmaSAFT,epsikSAFT,associationboundingvolume_PCSAFT,associationenergy_PCSAFT,LJDIAMETERHYDRATE,LJEPSHYDRATE,SphericalCoreRadiusHYDRATE,DeshMatIonicDiameter,waxformer,B2_largeGF,A1_smallGF,B1_smallGF,A1_largeGF,B1_largeGF,A2_smallGF,B2_smallGF,A2_largeGF,CPsolid1,CPsolid2,CPsolid3,CPsolid4,CPsolid5,CPliquid1,CPliquid2,CPliquid3,CPliquid4,CPliquid5,MCPR1,MCPR2,MCPR3,PARACHOR_CPA,lambdaRSAFTVRMie,lambdaASAFTVRMie,mSAFTVRMie,sigmaSAFTVRMie,epsikSAFTVRMie,associationenergy_SAFTVRMie,associationvolume_SAFTVRMie,UMRCPA_MC1,UMRCPA_MC2,UMRCPA_MC3,UMRCPA_MC4,UMRCPA_MC5,UMRCPA_a0,UMRCPA_b,UMRCPA_assocEnergy,UMRCPA_assocVolume,UMRCPA_assocScheme,UMRCPA_associating,UMRCPA_racketZ,UMRCPA_volcorr_T,InChIKey
1,methane,74-82-8,HC,1,CH4,16.043,0.422182073,-82.59,45.99,0.0115,-161.55,16.043,99.0,Classic,2.6,37.978352,-0.07461815,0.000301881,-2.83e-07,9.070574e-11,pow10,5.232430,891.0098,332.0975,0.0,0.0,0.0,0.0,0.0,0.0,2.52,155.809006022,0.406998625,3,-26.87,1150.0,0.187,-0.000521,-50460.0,2.0,0.0,0.0,0.0,0.0,0,solute,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290304,-0.0004720407,-4.320339e-06,77.3,941.0,452.0,0.116656057,90.69,90.65,-74520.0,186.3,33.022,-0.01587,-0.000155,0.0,0.0,2.92,0.29,191.0,0.289,0.0,8170.0,0.0,0.0,0.0,0.0,0.1,0.5857,-0.7206,1.2899,0.0,0.0,0.0,0.122841598,0.914470789,2.741978611,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18626,1,1.0,-6.68082,0.0,9700.0,1.5293e-05,0.04792,1594.0,0.01244,2952.0,0.002317,2777.0,1.076,1323.0,yes,1.0,3.703900119,150.029998779,0.0,0.0,3.190710941,155.809006022,0.406998625,1.0,0,900.0,0.000621,2760.0,0.421,1963.1,0.00404868,2636.75,0.29527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39234,0.0,0.0,77.3,12.65,6,1,3.7412,153.36,0,0,0.3866,0.016,-0.0174,0.0118,0.0208,0,0,0,0,0,0,0.0,0.0,VNWKTOKETHGBQD-UHFFFAOYSA-N
2,ethane,74-84-0,HC,2,C2H6,30.07,0.544459352,32.17,48.72,0.0995,-88.55,30.07,148.0,Classic,9761.1,34.735892,-0.036806078,0.000470572,-5.52e-07,2.0676918e-10,pow10,5.657274,1277.7739,315.3433,0.0,0.0,0.0,0.0,0.0,0.0,3.264673065,176.701997247,0.513842135,3,-10.23,668.0,0.0439,-9.59e-05,-32000.0,2.0,0.0,0.0,0.0,0.0,0,solute,0.0,0.0,0.0,0.0,0.002582841,12.53829052,-18.38097379,0.34675,-0.0009351408,-2.916284e-07,108.9,2860.0,652.0,1.1402e-05,90.35,89.95,-83800.0,229.2,25.263,-0.01095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14703.0,0.0,0.0,0.0,0.0,0.1,0.654848544,-0.184389171,0.26016005,0.0,0.0,0.0,0.299607318,0.876626839,1.6792384,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04609,1,1.0,-3.33355,0.0,20500.0,2.1756e-05,0.0,0.0,0.002999,3861.0,0.0,0.0,0.007362,4000.0,yes,1.6069,3.5206,191.42,0.0,0.0,3.264673065,176.701997247,0.513842135,1.0,0,3363.0,0.0,0.0,0.1098,2854.94,0.0,0.0,0.0893861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52005,0.0043,0.10292,108.9,12.4,6,1.4373,3.7257,206.12,0,0,0.4988,0.1156,-0.0408,-0.0578,0.0177,0,0,0,0,0,0,0.0,0.0,OTMSDBZUPAUEDD-UHFFFAOYSA-N
3,Cl-,16887-00-6,ion,3,Cl-,35.45,0.797,444.15,290.89,0.344,64.55,99.45,99.0,Classic,1374.6,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,3.6,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-131228.0,0.0,0.0,0.0,0.0,0.0,-1,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,52.8786226,6000.0,1000.0,0.00611,273.0,273.0,-167159.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,3.6,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,VEXZGXHMUGYJMC-UHFFFAOYSA-M
4,Na+,17341-25-2,ion,4,Na+,22.99,0.797,444.15,290.89,0.344,64.55,22.99,99.0,Classic,1374.6,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,5.68,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-261905.0,0.0,0.0,0.0,0.0,0.0,1,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,52.8786226,6000.0,1000.0,0.00611,273.0,273.0,-240120.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,3.68,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,FKNQFGJONOIPTF-UHFFFAOYSA-N
5,Mg++,22537-22-0,ion,5,Mg++,24.31,0.797,444.15,290.89,0.344,64.55,24.31,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,6.94,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-454800.0,0.0,0.0,0.0,0.0,0.0,2,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-466850.0,-138.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,6.94,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,JLVVSXFLKOJNIY-UHFFFAOYSA-N
6,MDEA,105-59-9,amine,6,C5H13NO2,119.1632,1.038,403.85,38.76,1.242,140.0,119.16,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.260355682,0.0,4.5,481.8,0.0,3,-75.19,12680.0,0.1573,-0.0001225,57900.0,-14.02,10500.46,0.0,0.0,0.0,0,solvent,0.0,0.0,0.0,0.0,0.521291873,-1.152080748,-0.013889882,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-242000.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,2.298601539,-2.159763177,1.537096461,0.0,0.0,0.0,0.0,0.0,0.0,4,4C,0.0,0.0,0.018008483,12276.3826,342400.6001,10.828737539,1.03285479,376276.884,10.78358585,1.258298307,0.0,1,17.38710706,1.76274587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,5.001,3.2045,268.55,0.01,16650.0,4.5,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,1.0303,0.17168,-0.01293,0.0,0.0,35.76279,0.10871,119.03968,0.03026,4C,1,0.0,0.0,CRVGTESFCCXCTH-UHFFFAOYSA-N
7,MDEA+,0-0-0-0,ion,7,CH4O,120.1632,1.038,403.85,38.76,1.242,64.55,120.16,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,4.5,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,0.0,0.0,0.0,0.0,0.0,0.0,1,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-242000.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,4.5,481.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
8,H3O+,13968-08-6,ion,8,H3O,19.02,0.797,444.15,290.89,0.344,64.55,19.02,99.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.7,0.215,0.0,0.0,4.06,481.8,0.0,3,-39.35,4826.0,0.1091,-0.000113,-237129.0,0.0,0.0,0.0,0.0,0.0,1,solute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.384,0.00525,-6.37e-06,207.0,6000.0,1000.0,0.00611,273.0,273.0,-285830.0,69.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52100000.0,0.32,-0.212,0.258,0.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,4.06,481.8,0.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,XLYOFNOQVPJJNP-UHFFFAOYSA-O
9,propane,74-98-6,HC,9,C3H8,44.097,0.0,96.68,42.48,0.1523,-42.05,44.097,203.0,Classic,19519.6,31.983958,0.042659134,0.000499754,-6.56e-07,2.5598806e-10,pow10,6.098687,1814.2703,339.4400,0.0,0.0,0.0,0.0,0.0,0.0,3.320577362,205.885946142,0.662379685,3,-7.764,722.0,0.0238,-4.67e-05,-23490.0,2.0,0.0,0.0,0.0,0.0,0,solute,0.0,0.0,0.0,0.0,-0.015069991,-4.344143673,4.007325591,0.263363,-0.0006020071,-1.578571e-07,151.9,6000.0,1000.0,1e-09,85.47,85.5,-104680.0,270.0,18.861,-0.020332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15700.0,0.0,0.0,0.0,0.0,0.1,0.721211486,-0.099216642,0.181829227,0.0,0.0,0.0,0.435825883,0.866132179,1.395432818,0,0,0.0,0.0,0.0,0.0,91187.5,5.7834,0.6307,0.0,0.0,0.0,5.24869,1,1.0,-11.1254,0.0,28500.0,2.4973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.008264,4521.0,yes,2.002,3.6184,208.11,0.0,0.0,3.320577362,205.885946142,0.662379685,1.0,0,3885.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61838,-0.16071,0.48785,151.9,13.006,6,1.6845,3.9056,239.89,0,0,0.6037,0.004,0.1788,-0.0136,-0.202,0,0,0,0,0,0,0.0,0.0,ATUOYWHBWRKTHZ-UHFFFAOYSA-N
10,CO2,124-38-9,inert,10,CO2,44.01,1.1,31.04,73.815,0.2276,-78.5,44.01,94.0,Classic,19459.1,18.58302105174049,0.0823796345114741,-7.930390038368174e-05,4.222181385638e-08,-9.577100164048893e-12,pow10,3.674806,400.4020,190.6992,0.0,0.0,0.0,0.0,0.0,0.0,2.34,168.77,0.6805,2,-7.811,3140.0,0.0,0.0,-394359.0,2.0,0.0,0.0,0.0,0.0,0,solute,94.4914,-6789.04,-11.4519,-0.010454,0.0,0.0,0.0,0.251502,0.0005238919,-3.82111e-06,78.0,9018.9693,1000.0,5.185,216.58,216.592,-393509.0,213.8,32.939,0.06842,-0.0002847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14490.0,0.0,0.0,0.0,0.0,0.1,0.88173893,-0.856255022,3.094939327,0.0,0.0,0.0,1.413601068,-0.605965449,1.101814948,2,2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.81228,-1301.679,-3.494,26100.0,3.7687e-05,4.856e-11,7470.0,0.09862,2617.0,6.082e-05,3691.0,0.1683,2591.0,yes,1.3097,3.2507,92.15,0.0,0.0,3.03720716,170.162382832,0.68463388,1.0,0,2119.56,0.000758596,2500.0,0.231198,2419.56,0.00724496,2330.0,0.139898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71369,-0.44764,2.43752,78.0,27.557,5.055,1.5,3.1916,231.88,0,0,0.6711,0.0084,0.2393,0.8658,0.7161,0,0,0,0,0,0,0.0,0.0,CURLTUGMZLYLDI-UHFFFAOYSA-N
