"ID","COMPONENTNAME","ATOMELEMENT","NUMBER"
1,"CO2","C",1
2,"CO2","O",2
3,"water","H",2
4,"water","O",1
5,"MDEA","H",13
6,"MDEA","O",2
7,"MDEA","C",5
8,"MDEA+","H",14
9,"MDEA+","C",5
10,"MDEA+","O",2
11,"H3O+","H",3
12,"H3O+","O",1
13,"OH-","H",1
14,"OH-","O",1
15,"HCO3-","H",1
16,"HCO3-","C",1
17,"HCO3-","O",3
18,"H2S","H",2
19,"H2S","S",1
20,"HS-","H",1
21,"HS-","S",1
22,"S--","S",1
23,"CO3--","C",1
24,"CO3--","O",3
25,"Piperazine","C",4
27,"Piperazine","H",10
28,"Piperazine","N",2
30,"Piperazine+","H",11
32,"Piperazine+","C",4
33,"Piperazine+","N",2
34,"MDEA","N",1
35,"MDEA+","N",1
36,"PZCOO-","C",5
37,"PZCOO-","H",9
38,"PZCOO-","O",2
39,"PZCOO-","N",2
40,"H+PZCOO-","C",5
41,"H+PZCOO-","H",10
42,"H+PZCOO-","O",2
43,"H+PZCOO-","N",2
44,"-OOCPZCOO-","C",6
45,"-OOCPZCOO-","H",8
46,"-OOCPZCOO-","O",4
47,"-OOCPZCOO-","N",2
50,"DEA","H",11
51,"DEA","O",2
52,"DEA","C",4
53,"DEAH+","H",12
54,"DEAH+","O",2
55,"DEAH+","C",4
56,"DEACOO-","H",11
57,"DEACOO-","C",5
58,"DEACOO-","O",4
59,"Piperazine++","H",12
60,"Piperazine++","C",4
61,"Piperazine++","N",2
62,"CaCO3","Ca",1
63,"CaCO3","C",1
64,"CaCO3","O",3
65,"Ca++","Ca",1
66,"acetic acid","C",2
67,"acetic acid","H",4
68,"acetic acid","O",2
69,"Ac-","C",2
70,"Ac-","H",3
71,"Ac-","O",2
72,"Hg++","Hg",1
73,"methane","C",1
74,"methane","H",4
75,"oxygen","O",2
76,"ethane","C",2
77,"ethane","H",6
78,"propane","C",3
79,"propane","H",8
80,"n-butane","C",4
81,"n-butane","H",10
84,"i-butane","C",4
85,"i-butane","H",10
86,"n-pentane","C",5
87,"n-pentane","H",12
88,"i-pentane","C",5
89,"i-pentane","H",12
90,"n-hexane","C",6
91,"n-hexane","H",14
92,"nitrogen","N",2
93,"hydrogen","H",2
94,"ammonia","N",1
95,"ammonia","H",3
96,"CO","C",1
97,"CO","O",1
98,"methanol","C",1
99,"methanol","H",4
100,"methanol","O",1
101,"ethanol","C",2
102,"ethanol","H",6
103,"ethanol","O",1
104,"n-heptane","C",7
105,"n-heptane","H",16
106,"n-octane","C",8
107,"n-octane","H",18
108,"n-nonane","C",9
109,"n-nonane","H",20
110,"nC10","C",10
111,"nC10","H",22
112,"benzene","C",6
113,"benzene","H",6
114,"toluene","C",7
115,"toluene","H",8
116,"SO2","S",1
117,"SO2","O",2
118,"H2SO4","H",2
119,"H2SO4","S",1
120,"H2SO4","O",4
121,"NO","N",1
122,"NO","O",1
123,"NO2","N",1
124,"NO2","O",2
125,"N2O","N",2
126,"N2O","O",1
127,"SO3","S",1
128,"SO3","O",3
129,"c-hexane","C",6
130,"c-hexane","H",12
131,"c-C5","C",5
132,"c-C5","H",10
133,"ethylene","C",2
134,"ethylene","H",4
135,"propylene","C",3
136,"propylene","H",6
137,"1-butene","C",4
138,"1-butene","H",8
139,"acetone","C",3
140,"acetone","H",6
141,"acetone","O",1
142,"formaldehyde","C",1
143,"formaldehyde","H",2
144,"formaldehyde","O",1
145,"formic acid","C",1
146,"formic acid","H",2
147,"formic acid","O",2
148,"nC11","C",11
149,"nC11","H",24
150,"nC12","C",12
151,"nC12","H",26
152,"dimethyl ether","C",2
153,"dimethyl ether","H",6
154,"dimethyl ether","O",1
155,"acetaldehyde","C",2
156,"acetaldehyde","H",4
157,"acetaldehyde","O",1
158,"argon","Ar",1
159,"helium","He",1
