"ID","INDEX","NAME","K1","K2","K3","K4","TREF","R","ACTENERGY","Reference","USEREACTION"
1,2,"CO2water",231.465000000,-12092.100000000,-36.781600000,0.000000000,298.150000000,0.003000000,50.000000000,"KentEisenberg1976",1
2,3,"waterreac",132.899000000,-13445.900000000,-22.477300000,0.000000000,298.150000000,0.003000000,10.000000000,"KentEisenberg1976",1
3,5,"MDEAprot",-50.770000000,-4044.800000000,7.848000000,0.000000000,298.150000000,0.003000000,50.000000000,"KentEisenberg1976",1
4,6,"carbonate",216.049000000,-12431.700000000,-35.481900000,0.000000000,298.150000000,0.003000000,50.000000000,"KentEisenberg1976",1
5,8,"water-H2S",214.582000000,-12995.400000000,-33.547100000,0.000000000,298.150000000,0.003000000,50.000000000,"KentEisenberg1976",1
6,9,"water-HS",-32.000000000,-3338.000000000,0.000000000,0.000000000,298.150000000,0.003000000,50.000000000,"KentEisenberg1976",1
