"ID","Name","Solid","eps","z0","beta"
1,"methane","AC Calgon F400",7.458000000,0.298000000,2.000000000
2,"CO2","AC Calgon F400",7.760000000,0.298000000,2.000000000
3,"nitrogen","AC Calgon F400",6.010000000,0.298000000,2.000000000
4,"methane","AC Norit R1",8.060000000,0.362000000,2.000000000
6,"argon","AC Norit R1",5.800000000,0.362000000,2.000000000
7,"methane","AC",7.180000000,0.367000000,2.000000000
8,"CO2","AC",7.510000000,0.367000000,2.000000000
9,"nitrogen","AC Norit R1",0.050000000,0.362000000,2.000000000
