temperature_K,pressure_bara,model,density_kg_m3,z_factor,reference_density_kg_m3,density_deviation_pct
300.0,1.0,Leachman,0.08077053795842692,1.0006498615517896,0.08077053795842692,0.0
300.0,1.0,GERG2008,0.08077645937704797,1.000576507671599,0.08077053795842692,0.0073311615481630454
300.0,1.0,GERG2008-H2,0.08077645937704797,1.000576507671599,0.08077053795842692,0.0073311615481630454
300.0,1.0,SRK,0.08077721766295669,1.0005133541424642,0.08077053795842692,0.008269976526831258
300.0,1.0,PR,0.08078385400272357,1.000270718317651,0.08077053795842692,0.016486264216175606
300.0,10.0,Leachman,0.8034727920216962,1.0059211516322373,0.8034727920216962,0.0
300.0,10.0,GERG2008,0.8035858261658386,1.0057796565576023,0.8034727920216962,0.014068198110117613
300.0,10.0,GERG2008-H2,0.8035858261658386,1.0057796565576023,0.8034727920216962,0.014068198110117613
300.0,10.0,SRK,0.8036405414796411,1.005173571303228,0.8034727920216962,0.020878050832662254
300.0,10.0,PR,0.8042667758441019,1.0027860852166648,0.8034727920216962,0.09881900548340816
300.0,30.0,Leachman,2.382498210753281,1.0177094017629,2.382498210753281,0.0
300.0,30.0,GERG2008,2.383002988392441,1.0174938263097115,2.382498210753281,0.021186905277903456
300.0,30.0,GERG2008-H2,2.383002988392441,1.0174938263097115,2.382498210753281,0.021186905277903456
300.0,30.0,SRK,2.3832435938068572,1.0157782807476392,2.382498210753281,0.031285776006551025
300.0,30.0,PR,2.3881800339713672,1.0088621055552185,2.382498210753281,0.2384817412429241
300.0,50.0,Leachman,3.9249199660626726,1.0296137032654187,3.9249199660626726,0.0
300.0,50.0,GERG2008,3.9257591636518376,1.0293936058774935,3.9249199660626726,0.021381266278575062
300.0,50.0,GERG2008-H2,3.9257591636518376,1.0293936058774935,3.9249199660626726,0.021381266278575062
300.0,50.0,SRK,3.9257585837349445,1.026705720751109,3.9249199660626726,0.0213664910245992
300.0,50.0,PR,3.9377034579523467,1.0155610986377495,3.9249199660626726,0.3257007021852276
300.0,100.0,Leachman,7.625408720103294,1.059917318431538,7.625408720103294,0.0
300.0,100.0,GERG2008,7.6262584122724055,1.0597992259939772,7.625408720103294,0.011142906568029076
300.0,100.0,GERG2008-H2,7.6262584122724055,1.0597992259939772,7.625408720103294,0.011142906568029076
300.0,100.0,SRK,7.620063557622866,1.0552847326391273,7.625408720103294,-0.07009673417682771
300.0,100.0,PR,7.652937945240359,1.0346845085270484,7.625408720103294,0.3610196665850607
300.0,200.0,Leachman,14.399570311098532,1.1225755474560064,14.399570311098532,0.0
300.0,200.0,GERG2008,14.39969897772664,1.1225655168289272,14.399570311098532,0.0008935449136826534
300.0,200.0,GERG2008-H2,14.39969897772664,1.1225655168289272,14.399570311098532,0.0008935449136826534
300.0,200.0,SRK,14.33609652857275,1.1167936579335689,14.399570311098532,-0.4408033097825115
300.0,200.0,PR,14.385937706467399,1.0807992088946836,14.399570311098532,-0.09467369051023855
300.0,500.0,Leachman,30.66234722207434,1.3179523902752235,30.66234722207434,0.0
300.0,500.0,GERG2008,30.665030216515927,1.3178370778521649,30.66234722207434,0.008750127386369932
300.0,500.0,GERG2008-H2,30.665030216515927,1.3178370778521649,30.66234722207434,0.008750127386369932
300.0,500.0,SRK,29.97211316462761,1.3214234193939294,30.66234722207434,-2.2510802987379175
300.0,500.0,PR,29.71789208382236,1.2527375041451376,30.66234722207434,-3.080178863710903
300.0,700.0,Leachman,39.05268113379629,1.4487128078111189,39.05268113379629,0.0
300.0,700.0,GERG2008,39.048379909822735,1.4488723851936938,39.05268113379629,-0.011013901859435737
300.0,700.0,GERG2008-H2,39.048379909822735,1.4488723851936938,39.05268113379629,-0.011013901859435737
300.0,700.0,SRK,37.63144004097391,1.4657943818609556,39.05268113379629,-3.639291980883841
300.0,700.0,PR,36.98597893163699,1.3797235163474966,39.05268113379629,-5.292087872478413
