year,co2_tax_NOK_per_tonne,eu_ets_NOK_per_tonne,total_NOK_per_tonne,source_note
2020,544,170,714,Published petroleum CO2 tax + EUA average
2021,591,540,1131,Public tax level and EUA market
2022,766,840,1606,Public tax level and EUA market
2023,952,930,1882,Public tax level and EUA market
2024,1176,810,1986,Public tax level and EUA market
2025,1400,900,2300,Indicative ramp toward 2 000 NOK petroleum tax
2026,1500,950,2450,Linear projection
2027,1600,1000,2600,Linear projection
2028,1700,1050,2750,Linear projection
2029,1800,1100,2900,Linear projection
2030,2000,1150,3150,Stated petroleum CO2 tax target
2035,2200,1300,3500,Linear projection
2040,2400,1450,3850,Linear projection
