molecule;O;N;C;H;S;Na;Ar;Z;A;B;C;D;DHof,298;DGof,298, ;dSof, 298
CO2;2;0;1;0;0;0;0;0;0;0;0;0;-393,51;-394,4;213,79
CO;1;0;1;0;0;0;0;0;0;0;0;0;-110,53;-137,2;197,66
water;1;0;0;2;0;0;0;0;0;0;0;0;-241,83;-228,6;188,83
hydrogen;0;0;0;2;0;0;0;0;0;0;0;0;0;0;130,68
oxygen;2;0;0;0;0;0;0;0;0;0;0;0;0;0;205,15
NO;1;1;0;0;0;0;0;0;0;0;0;0;90,29;87,59;210,76
N2O5;5;2;0;0;0;0;0;0;0;0;0;0;11,3;115,1;355,6
NO2;2;1;0;0;0;0;0;0;0;0;0;0;33,1;51,3;240,06
N2O3;3;2;0;0;0;0;0;0;0;0;0;0;83,7;139,4;311,1
N2O;1;2;0;0;0;0;0;0;0;0;0;0;82,05;104,2;291,96
N2O4;4;2;0;0;0;0;0;37,28;0,0302;-0,0000193;5,23E-09;9,079;97,787;304,376
nitrogen;0;2;0;0;0;0;0;0;0;0;0;0;0;0;191,61
NH2OH;1;1;0;3;0;0;0;0;0;0;0;0;-79,5;-23,4;232
N2H4;0;2;0;4;0;0;0;0;0;0;0;0;95,4;159,4;238,5
ammonia;0;1;0;3;0;0;0;0;0;0;0;0;-45,94;-16,4;192,45
S;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31,8
S2;0;0;0;0;2;0;0;0;0;0;0;0;128,6;79,7;228,6
S8;0;0;0;0;8;0;0;0;0;0;0;0;102,3;49,7;431,1
SO2;2;0;0;0;1;0;0;0;0;0;0;0;-296,83;-300,13;248,11
SO3;3;0;0;0;1;0;0;0;0;0;0;0;-395,72;-371,06;256,76
H2S;0;0;0;2;1;0;0;0;0;0;0;0;-20,6;-33,4;205,79
nitric acid;3;1;0;1;0;0;0;0;0;0;0;0;-135,1;-74,7;146,4
HNO2;2;1;0;1;0;0;0;0;0;0;0;0;-79,5;-48,1;116,5
sulfuric acid;4;0;0;2;1;0;0;0;0;0;0;0;-735,4;-644,5;151
H2SO3;3;0;0;2;1;0;0;0;0;0;0;0;-363,2;-314,6;135,6
formic acid;2;0;1;2;0;0;0;0;0;0;0;0;-378,6;-351;131,7
acetic acid;2;0;2;4;0;0;0;0;0;0;0;0;-432,2;-374,2;159,8
NH4NO3;3;2;0;4;0;0;0;0;0;0;0;0;-365,56;-183,87;151,1
NH4NO2;2;2;0;4;0;0;0;0;0;0;0;0;-257,3;-96,7;111,46
(NH4)2SO4;4;2;0;8;1;0;0;0;0;0;0;0;-1180,9;-901,6;220
(NH4)2SO3;3;2;0;8;1;0;0;0;0;0;0;0;-887;-698,3;
NH4(HCOO);2;1;1;5;0;0;0;0;0;0;0;0;-649,8;-469;196,6
NH4(CH3COO);2;1;2;7;0;0;0;0;0;0;0;0;-681,6;-476,1;225,5
MEG;2;0;2;6;0;0;0;0;0;0;0;0;-390,1;-300,5;160
DEG;3;0;4;10;0;0;0;0;0;0;0;0;-529,7;-381,2;338,9
TEG;4;0;6;14;0;0;0;0;0;0;0;0;-668,6;-463,4;269,8
MEA;1;1;2;7;0;0;0;0;0;0;0;0;-231,8;-101,9;215,1
DEA;2;1;4;11;0;0;0;0;0;0;0;0;-421,3;-233,1;321,3
MDEA;2;1;5;13;0;0;0;0;0;0;0;0;-426,5;-210,6;390,8
TEA;3;1;6;15;0;0;0;0;0;0;0;0;-601,7;-332,9;400,6
methane;0;0;1;4;0;0;0;0;0;0;0;0;-74,87;-50,45;186,26
ethane;0;0;2;6;0;0;0;0;0;0;0;0;-84;-32;229,6
propane;0;0;3;8;0;0;0;0;0;0;0;0;-103,8;-23,4;269,9
n-butane;0;0;4;10;0;0;0;0;0;0;0;0;-125,6;-15,8;310,2
i-butane;0;0;4;10;0;0;0;0;0;0;0;0;-134,2;-20,8;294,6
n-pentane;0;0;5;12;0;0;0;0;0;0;0;0;-146,2;-8,1;348,9
i-pentane;0;0;5;12;0;0;0;0;0;0;0;0;-153,7;-13;344,2
ethylene;0;0;2;4;0;0;0;0;0;0;0;0;52,5;68,4;219,56
methanol;1;0;1;4;0;0;0;0;0;0;0;0;-201;-162,3;126,8
ethanol;1;0;2;6;0;0;0;0;0;0;0;0;-235;-168,2;160,7
benzene;0;0;6;6;0;0;0;0;0;0;0;0;82,9;129,7;173,4
toluene;0;0;7;8;0;0;0;0;0;0;0;0;50,1;112,5;219,5
o-Xylene;0;0;8;10;0;0;0;0;0;0;0;0;19;121,2;247,3
HCN;0;1;1;1;0;0;0;0;0;0;0;0;135,5;125;201,78
COS;1;0;1;0;1;0;0;0;0;0;0;0;-142;-169,3;257,3
CS2;0;0;0;0;2;0;0;0;0;0;0;0;116,7;66,8;151,3
argon;0;0;0;0;0;1;0;0;0;0;0;0;0;0;154,85
CH2O;1;0;1;2;0;0;0;0;0;0;0;0;-108,6;-102,5;218,8
C2H4O;1;0;2;4;0;0;0;0;0;0;0;0;-166,2;-128;266,1
NH4HSO4;4;1;0;5;1;0;0;0;0;0;0;0;-903;-628,7;192,2
H3O+;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0
H+;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
OH-;1;0;0;1;0;0;0;-1;0;0;0;0;-229;-157;-10,9
HSO4-;4;0;0;1;1;0;0;-1;0;0;0;0;-885,75;-752,87;126,9
SO4--;4;0;0;0;1;0;0;-2;0;0;0;0;-909,08;-744,3;17
NO3-;3;1;0;0;0;0;0;-1;0;0;0;0;-206,6;-108,74;0
NH4+;0;1;0;4;0;0;0;1;0;0;0;0;-132,5;-79,31;113,4
HCOO-;2;0;1;1;0;0;0;-1;0;0;0;0;-425,5;-351;92,4
C2H4;0;0;2;4;0;0;0;0;0;0;0;0;52,5;68,4;219,4
NaNO2;2;1;0;0;0;1;0;0;0;0;0;0;-360,6;-365,1;0
NH2SO3H;3;1;0;3;1;0;0;0;0;0;0;0;-480;-372;0
NH2SO3-;3;1;0;2;1;0;0;-1;0;0;0;0;-552;-420;0
Na+;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
NaHSO4;4;0;0;1;1;1;0;0;0;0;0;0;-947,7;-808;0
NO2-;2;1;0;0;0;0;0;-1;0;0;0;0;-104,6;-37,3;0
H2O2;2;0;0;2;0;0;0;0;0;0;0;0;-136,1;-105,6;0
