"STANDARD_CODE","VERSION","EQUIPMENTTYPE","SPECIFICATION","MINVALUE","MAXVALUE","UNIT","DESCRIPTION"
"ASTM-A516","2022","Separator","MaxAllowableStress",117.20,137.90,"MPa","Maximum allowable stress at ambient (Grade 55-70)"
"ASTM-A516","2022","Separator","MinYieldStrength",206.85,262.00,"MPa","Minimum yield strength (Grade 55-70)"
"ASTM-A516","2022","Separator","MinTensileStrength",379.21,482.63,"MPa","Minimum tensile strength (Grade 55-70)"
"ASTM-A516","2022","ThreePhaseSeparator","MaxAllowableStress",117.20,137.90,"MPa","Maximum allowable stress"
"ASTM-A516","2022","GasScrubber","MaxAllowableStress",117.20,137.90,"MPa","Maximum allowable stress"
"ASTM-A516","2022","Adsorber","MaxAllowableStress",117.20,137.90,"MPa","Maximum allowable stress"
"ASTM-A106","2022","Pipe","MinYieldStrength",207.00,241.00,"MPa","Minimum yield strength (Grade A-B)"
"ASTM-A106","2022","Pipe","MinTensileStrength",330.00,415.00,"MPa","Minimum tensile strength (Grade A-B)"
"ASTM-A106","2022","Pipe","MaxOperatingTemperature",426.70,426.70,"C","Maximum operating temperature"
"ASTM-A106","2022","Pipeline","MinYieldStrength",207.00,241.00,"MPa","Minimum yield strength"
"ASTM-A106","2022","AdiabaticPipe","MinYieldStrength",207.00,241.00,"MPa","Minimum yield strength"
"ASTM-A333","2022","Pipe","MinYieldStrength",207.00,241.00,"MPa","Minimum yield strength (Grade 1, 6)"
"ASTM-A333","2022","Pipe","MinTensileStrength",380.00,415.00,"MPa","Minimum tensile strength"
"ASTM-A333","2022","Pipe","MinDesignTemperature",-45.50,-101.00,"C","Impact test temperature (Grade 1, 3)"
"ASTM-A333","2022","Pipeline","MinYieldStrength",207.00,241.00,"MPa","Minimum yield strength"
"ASTM-A333","2022","Pipeline","MinDesignTemperature",-45.50,-101.00,"C","Impact test temperature"
